RetinaNumber,SectionNumber,ImageNumber,WatershedIndex,Centroid_1,Centroid_2,Centroid_3,ArcLength,OPL_Distance,Remapped_X,Remapped_Y,Subtype,BirthdateIndex_1,BirthdateIndex_2,BirthdateIndex_3,BirthdateIndex_4,tSNE1,tSNE2,tSNE3,Pcdh17,Wls,Neto1,Chrm2,Erbb4,Grik1,Slitrk5,Col11a1,Meis2,Lrrtm1,Vsx1,Grm6,Igfn1,Cpne9,Prkca,Vsx2
1,2,17,405,951.653197037912,565.332952001378,49.3086451644648,0.244784176932775,24.6573189137327,-2974.34680296209,3815.33295200138,5,0,0,1,0,0.915891029828279,0.671404416853102,67.4553344366394,9,0,0,0,0,68,1,0,13,1,4,34,2,0,16,23
1,2,17,406,1022.20400930336,1610.65161639655,52.4783352407674,0.28171589475786,6.10804691640498,-2903.79599069664,4860.65161639655,15,0,1,0,0,-44.9826621007811,-22.6818752599771,-13.9305026372253,0,0,0,0,0,15,0,0,3,3,1,65,4,0,64,45
1,2,17,409,1001.60915093626,1593.34761460722,18.0225560119963,0.280744020627467,3.75729972424562,-2924.39084906374,4843.34761460722,15,0,0,0,1,-60.4283106258356,-2.23541857270952,1.40504016795771,0,0,11,0,0,14,0,0,1,1,36,87,0,0,85,87
1,2,17,411,960.87078126752,329.601766603959,44.9859095269538,0.23822215242202,24.3862834960241,-2965.12921873248,3579.60176660396,8,0,1,0,0,33.1670118863308,-0.209475984824003,-23.7923759199867,7,0,0,2,1,1,7,0,2,0,2,35,1,0,8,20
1,2,17,412,971.025272615477,426.201967599854,48.5341506569123,0.240677446023833,25.2749662078161,-2954.97472738452,3676.20196759985,5,0,0,0,1,-6.09642178317524,-4.83800718685437,65.5796914058217,4,0,0,0,0,75,5,0,3,0,0,28,0,0,7,21
1,2,17,420,926.920397068655,1160.59421551191,54.4016473051551,0.265600924800551,10.0672635309847,-2999.07960293135,4410.59421551191,15,0,0,0,1,-45.6516406030031,-3.6810044388008,21.4612588105676,1,0,17,0,4,18,0,0,1,0,34,74,28,0,25,15
1,2,17,429,1083.79096066758,1522.19213351651,28.0370045285707,0.278995381775961,18.9905837948144,-2842.20903933242,4772.19213351651,7,0,0,0,1,-15.6790672886861,18.1240504604264,10.8929456597828,12,1,1,0,1,16,6,0,5,3,6,65,2,0,11,31
1,2,17,432,1000.62834675873,987.835545326685,48.5169671397519,0.261139690877966,24.3894731900559,-2925.37165324127,4237.83554532668,7,0,0,0,1,2.96666846302379,11.0519501372392,-11.3418868522007,7,0,2,0,1,6,3,0,2,1,3,51,0,1,5,14
1,2,17,433,913.08161016732,148.383913700771,51.2504804366208,0.231291844101979,16.1730576267712,-3012.91838983268,3398.38391370077,3,0,0,1,0,80.4387303265024,-20.5966048986994,-14.04364312459,3,0,28,0,0,34,0,0,5,0,19,9,4,0,9,12
1,2,17,438,923.723645732689,253.151819645733,44.2549178743961,0.233644066153325,20.7771742182983,-3002.27635426731,3503.15181964573,3,0,0,0,1,74.5914528140005,-26.8185791528515,-18.6910304065444,6,0,23,2,1,20,1,1,1,0,27,41,1,0,5,20
1,2,17,440,1175.71440231701,2002.39402317009,19.5656398104265,0.295873520935978,4.05501544864055,-2750.28559768299,5252.39402317009,15,0,0,0,1,-60.9327793781366,-2.76631173637416,3.89240171589731,1,0,1,0,0,8,0,0,3,3,28,91,6,0,99,64
1,2,17,442,840.839781372524,211.401591670345,40.4455378703295,0.233073893772739,6.18276657078315,-3085.16021862748,3461.40159167035,15,0,0,0,1,-54.471038957204,-38.1788678300612,-21.6465566400716,1,0,0,0,0,10,1,0,0,0,11,84,13,0,86,49
1,2,17,449,1123.50906289177,1593.23465576682,53.5946118888425,0.282537441949114,22.0748331179183,-2802.49093710823,4843.23465576682,3,0,0,0,1,59.2217139202796,-3.77275297758289,-14.416437258935,2,0,11,1,1,11,0,0,8,0,8,25,1,0,1,20
1,2,17,458,841.824371485388,723.413443430393,24.7928436911488,0.250877453703449,3.78280821797741,-3084.17562851461,3973.41344343039,15,0,0,0,1,-48.7166532935087,-14.2015612253779,-21.8718502023832,1,1,1,0,0,6,0,0,3,0,1,91,2,0,68,67
1,2,17,460,953.236755652895,1348.42053391737,11.5545163963537,0.272434686062571,6.57151995327836,-2972.76324434711,4598.42053391737,11,0,0,1,0,-43.6881794042261,13.4645858635082,19.021172210189,0,1,1,0,1,9,1,0,0,2,37,82,0,0,43,33
1,2,17,470,913.537997968317,1147.43376437965,18.0276610932652,0.265162276582227,7.92607967493068,-3012.46200203168,4397.43376437965,15,0,0,0,1,-57.7138066887377,-12.9758265383854,-29.6962986052758,1,0,1,0,0,14,1,0,1,4,7,114,1,1,77,69
1,2,17,479,939.55874051979,1341.95350516981,34.2561495967149,0.272117489517156,4.68960127751533,-2986.44125948021,4591.95350516981,15,0,0,0,1,-44.2590247213786,-48.1949177617859,-8.45266742069293,1,0,9,4,0,9,0,0,1,1,14,100,15,0,82,69
1,2,17,481,988.823928436301,733.450056753689,44.05299713529,0.251304351456837,27.2682580987209,-2937.1760715637,3983.45005675369,2,0,0,0,1,11.9668342533688,-64.1773277996656,33.2090229310648,3,1,1,0,0,9,2,0,5,0,2,2,0,0,6,11
1,2,17,485,1125.91899338971,1833.53896271361,55.4061325044453,0.290171513001089,9.25273990048342,-2800.08100661029,5083.53896271361,15,1,0,0,0,-49.1865575231211,-2.9640063987593,22.3268161689492,0,0,14,2,0,41,0,0,2,0,16,76,3,3,52,38
1,2,17,486,1157.75858344038,1910.21554945697,16.52677215929,0.292768383622526,8.17519129202782,-2768.24141655962,5160.21554945697,14,1,0,0,0,12.7869861257747,-87.3377709612541,-38.5463024715065,1,0,0,0,0,31,1,1,0,0,5,92,0,38,48,28
1,2,17,491,1018.78128529323,1495.99301710602,49.3464727432995,0.277689684226654,9.69121664047267,-2907.21871470677,4745.99301710602,8,1,0,0,0,32.9871462337812,-0.710612646050542,-32.8849071391119,3,0,0,5,1,15,3,1,0,1,0,5,0,0,6,11
1,2,17,493,1010.38114431638,555.658955069363,50.1549175236386,0.243758822877636,33.7496939961591,-2915.61885568362,3805.65895506936,2,1,0,0,0,13.9115555533765,-70.9639686064815,37.3103520784801,1,3,5,2,0,2,6,0,11,1,0,0,0,0,11,8
