RetinaNumber,SectionNumber,ImageNumber,WatershedIndex,Centroid_1,Centroid_2,Centroid_3,ArcLength,OPL_Distance,Remapped_X,Remapped_Y,Subtype,BirthdateIndex_1,BirthdateIndex_2,BirthdateIndex_3,BirthdateIndex_4,tSNE1,tSNE2,tSNE3,Pcdh17,Wls,Neto1,Chrm2,Erbb4,Grik1,Slitrk5,Col11a1,Meis2,Lrrtm1,Vsx1,Grm6,Igfn1,Cpne9,Prkca,Vsx2
1,1,1,59,1856.97673937959,658.522039343893,26.9923905078631,0.0031545081216125,71.0650950821541,1856.97673937959,658.522039343893,11,0,0,0,1,-4.55708123745159,-56.9416132670341,-16.548504169126,0,1,11,0,0,3,2,0,0,2,45,45,1,0,11,19
1,NaN,1,82,1939.8669580474,556.25752935436,31.1733438534929,0,75.3738988908774,1939.8669580474,556.25752935436,5,1,0,0,0,41.7186418466442,-13.0202905204385,37.9956351473113,1,1,0,0,0,28,2,0,0,0,2,0,1,0,1,8
1,1,1,139,505.543319272146,925.113234156204,10.278885754936,0.0593944033138278,29.1915000518762,505.543319272146,925.113234156204,2,1,0,0,0,-47.8998130145777,10.2497517572911,-10.4822120647437,0,2,2,1,1,5,1,1,1,3,8,51,3,0,35,31
1,1,1,160,435.326590653521,915.936609220952,29.3417191872172,0.0624022397800636,29.7816885212459,435.326590653521,915.936609220952,15,0,0,0,1,-51.7873687050641,-37.6369786271017,5.87073319641343,0,0,11,5,0,10,0,0,2,2,30,76,1,0,75,73
1,1,1,199,765.006602270607,867.825757467025,37.4690052100527,0.0502631057520685,119.539493806598,765.006602270607,867.825757467025,15,0,0,0,1,-73.7707821921517,-16.0481562526541,-0.813255116461809,0,0,0,1,0,0,1,0,0,1,8,113,17,0,42,14
1,1,1,204,1209.79991526167,882.852511468895,20.5085322736172,0.0306240201485563,85.3802421349785,1209.79991526167,882.852511468895,15,0,0,0,1,-50.9170764797208,-41.1023687423148,-6.98117275261354,1,0,25,3,0,10,1,1,1,0,19,36,3,1,42,17
1,1,1,299,660.459665505481,887.168578671871,43.8780207554396,0.0544929116207815,86.7233509586157,660.459665505481,887.168578671871,15,0,0,0,1,-31.3070870323133,-4.81965252265445,1.07040351481887,0,0,0,1,1,2,2,0,0,0,2,30,6,0,24,13
1,1,1,360,1270.96520023888,957.422591795002,18.2639931956785,0.0293454259629409,6.64376756660322,1270.96520023888,957.422591795002,15,1,0,0,0,-42.6116581485904,-8.13659113890659,8.19422923355844,0,0,0,0,0,4,0,1,0,1,5,54,2,1,30,14
1,1,1,361,1503.120911456,911.223450255674,15.7095720821746,0.0203525711432275,47.6981447580589,1503.120911456,911.223450255674,15,0,0,0,1,-57.3931096118778,-25.0444023388867,13.3500873673973,1,0,3,0,0,0,0,1,1,2,10,59,2,0,49,27
1,1,1,365,1212.64188223793,938.400360956535,43.2915288013235,0.0311874190604933,30.2097515239676,1212.64188223793,938.400360956535,15,0,0,0,1,-29.2444560791458,-3.0986116573825,5.60698389873062,0,0,0,0,0,0,0,1,0,0,0,34,0,0,22,7
1,1,1,373,232.097425217023,815.827819451868,27.6022817332326,0.0716550231492878,39.4612863371176,232.097425217023,815.827819451868,2,0,0,0,1,-49.5159398152506,10.5647995531807,-10.6914295771353,0,1,0,0,0,0,0,0,0,0,0,35,0,0,27,19
1,1,1,383,901.114179661496,961.600734300296,45.2052207944161,0.0439528380450834,27.5772091673158,901.114179661496,961.600734300296,15,0,0,0,1,-29.0679309144058,-1.20626971786297,5.95677638504414,0,0,0,1,0,2,0,1,0,1,0,29,0,0,18,12
1,1,1,390,397.05145978527,773.243303823696,12.435750612168,0.0650658489636644,160.316293975238,397.05145978527,773.243303823696,15,0,0,0,1,0.550322140864821,-12.3031482131871,-20.9177873579578,3,0,0,0,0,2,0,0,11,0,6,84,5,1,23,18
1,1,1,411,1009.9682972489,977.799202344132,44.7837986325899,0.0402297098482956,11.6447606404324,1009.9682972489,977.799202344132,15,0,0,0,1,-32.6222226230397,-3.52380153584703,13.4824235740182,0,0,0,0,0,0,1,0,1,0,0,21,4,0,28,14
1,1,1,412,38.4320036874148,753.559545987056,34.7977107299929,0.079901930933256,28.9410054570714,38.4320036874148,753.559545987056,15,0,0,0,1,-61.1994494969095,-13.7011579365743,41.7502962361583,0,0,1,0,1,0,1,0,0,4,4,53,6,6,51,25
1,1,1,416,1741.92956102622,739.170834504074,45.8040504030951,0.0086051968554806,89.1281809665867,1741.92956102622,739.170834504074,15,1,0,0,0,-50.9639636286314,-36.8592433565066,33.5950946710354,0,0,1,0,0,17,0,0,0,1,0,28,0,0,26,24
