RetinaNumber,SectionNumber,ImageNumber,WatershedIndex,Centroid_1,Centroid_2,Centroid_3,ArcLength,OPL_Distance,Remapped_X,Remapped_Y,Subtype,BirthdateIndex_1,BirthdateIndex_2,BirthdateIndex_3,BirthdateIndex_4,tSNE1,tSNE2,tSNE3,Pcdh17,Wls,Neto1,Chrm2,Erbb4,Grik1,Slitrk5,Col11a1,Meis2,Lrrtm1,Vsx1,Grm6,Igfn1,Cpne9,Prkca,Vsx2
1,1,1,184,797.198638871858,1134.25732679338,47.9258736971183,0.0491596392289444,8.72967507863388,797.198638871858,1134.25732679338,15,0,0,0,1,-26.3753256805082,-7.60739723496371,37.9596494800297,1,0,2,1,0,3,0,1,1,0,0,52,1,1,42,7
1,1,1,195,1067.2607413172,1034.97365349132,45.941533093173,0.0389133299601162,8.56316778336798,1067.2607413172,1034.97365349132,11,0,0,0,1,-19.3735496866577,-27.119896509453,-62.1261560587329,1,0,0,0,1,4,1,0,2,1,37,123,0,0,34,9
1,1,1,277,1579.79287292342,712.387757151465,24.8796086420107,0.0170273891643706,7.3035944526944,1579.79287292342,712.387757151465,15,1,0,0,0,-65.5008220452835,-22.1991108765259,-19.7106657214685,0,0,11,5,0,27,2,0,9,5,6,103,23,0,61,19
1,1,1,376,559.691324487713,1178.30638297872,48.3935934678496,0.0576418725872093,5.30275612616383,559.691324487713,1178.30638297872,15,0,0,0,1,-95.7435338274709,-19.3731817099433,17.085397909186,4,0,6,3,0,3,2,0,1,0,5,75,12,0,51,17
1,1,1,387,283.423703893115,1176.03007735089,51.5840631592406,0.0672881726795646,11.2766814137059,283.423703893115,1176.03007735089,15,0,0,0,1,-60.9040988347914,-26.5235796456501,-8.58951830792959,2,0,4,0,0,22,1,0,0,1,3,52,0,0,31,9
1,1,1,530,544.488875827238,1196.18841431557,16.7480407523511,0.0582531676420967,2.37928332747676,544.488875827238,1196.18841431557,15,1,0,0,0,-64.1706041572462,-13.3650885900196,14.0701031682118,2,0,0,1,0,3,0,0,1,0,0,41,5,0,37,11
1,1,1,537,1656.0815832733,454.757983783085,52.6105354537227,0.0070614616790088,9.61884854097475,1656.0815832733,454.757983783085,7,0,0,0,1,31.8208478780828,-56.153969205952,6.04069141555295,0,0,5,3,0,7,0,0,0,1,6,61,1,0,4,10
1,1,1,542,310.140898662638,1193.4014138362,43.5267379180423,0.0663963170903585,7.93520826806278,310.140898662638,1193.4014138362,15,1,0,0,0,-73.2365591142235,-21.149709524111,-2.76920507106287,1,0,0,0,0,2,0,0,1,1,2,76,8,0,41,15
1,1,1,559,1618.42165614753,625.072250336423,23.3549212486496,0.0137272525526005,4.45038033271179,1618.42165614753,625.072250336423,15,0,0,0,1,-93.9712064448442,-24.0272333173579,20.0917218933736,5,0,2,0,0,12,0,0,1,0,5,65,6,0,44,16
1,1,1,575,1459.7305304958,861.038996838615,41.2192921582235,0.0239030499708756,4.52572786278689,1459.7305304958,861.038996838615,15,0,0,0,1,-82.2762774924905,-9.60353650888869,17.7417259974939,0,0,8,0,0,4,1,0,0,0,5,83,5,0,73,12
1,1,1,584,1490.58190794589,807.53181853522,44.8372337117089,0.0218476725936115,8.72469457588422,1490.58190794589,807.53181853522,1,0,0,0,1,31.2587751659823,73.5476258143176,10.2499341403587,13,0,10,0,0,16,1,0,0,0,5,10,0,1,4,9
1,1,1,591,987.968385576665,1002.27209281517,12.1459631960392,0.040841774092113,15.4398864995451,987.968385576665,1002.27209281517,2,0,0,0,1,-35.2997924918329,84.0022971086012,-12.2416385755726,1,4,3,0,1,4,4,1,1,0,0,5,1,0,3,10
1,1,1,633,321.742879650951,1208.91195006666,23.4760231083101,0.0660243561568451,5.15596911243771,321.742879650951,1208.91195006666,15,0,0,0,1,-50.7271967080016,-29.3041152470221,26.4291002157294,0,0,1,0,0,7,0,0,0,0,4,65,0,0,31,9
1,1,1,641,614.664183964184,1168.83758648759,34.2126373626374,0.055707662586055,11.3558912782385,614.664183964184,1168.83758648759,15,0,0,0,1,-56.8115099040481,-56.2279976277122,3.90706685362034,0,0,13,4,1,9,0,0,0,1,6,70,7,0,65,7
1,1,1,649,1300.87672567809,936.612128471658,29.5689459152184,0.0301809667573823,8.18031021989218,1300.87672567809,936.612128471658,15,0,0,0,1,-58.4781870723582,-22.5359326925255,-20.0272646504633,3,0,9,4,3,10,0,0,8,4,6,77,0,1,68,13
1,1,1,666,1206.62138439241,974.513584682276,23.4856804588785,0.0336553537268032,8.67440362226276,1206.62138439241,974.513584682276,2,0,1,0,0,-47.6478619138035,63.1277975559332,-6.2799524684353,0,1,0,0,0,23,0,0,2,1,4,87,3,0,33,11
1,1,1,671,448.096898747176,1158.7348326145,41.1291435613062,0.061551882116189,6.98656321952278,448.096898747176,1158.7348326145,15,1,0,0,0,-30.557230839542,-24.6766974806344,24.486301993842,1,0,2,0,0,6,0,0,1,0,1,54,1,0,32,7
1,1,1,688,1627.06103355738,574.345126424896,18.4611862028215,0.0120396368069292,10.2303104402791,1627.06103355738,574.345126424896,15,0,0,0,1,-92.5626901227022,-31.8562989380044,10.5149415162788,1,0,0,0,4,15,0,0,1,0,1,82,2,0,48,25
1,1,1,696,1485.37358459031,838.043914260644,27.3086115405507,0.0227089286989474,3.85594058661479,1485.37358459031,838.043914260644,15,1,0,0,0,-79.799009775494,-16.8542789529979,32.5326723934284,4,0,6,0,0,2,1,0,1,0,16,91,2,1,58,10
1,1,1,700,1093.51226961779,1029.74814334428,17.971255831468,0.0380205357781569,5.29402758169995,1093.51226961779,1029.74814334428,15,0,0,0,1,-40.2786394461378,-70.3364128526711,13.0040890355859,1,0,2,10,1,20,0,0,8,0,16,80,1,0,39,17
1,1,1,709,453.851712614871,1181.96727234754,19.4530701754386,0.0613972792033359,3.20532423609031,453.851712614871,1181.96727234754,12,0,0,0,1,-63.0823313589287,21.919093667371,-69.6688659441802,6,0,0,0,2,14,0,0,0,0,38,59,37,2,1,9
1,1,1,713,230.832078676424,1187.48537398562,30.1386902640022,0.0691315826831186,5.5239447095547,230.832078676424,1187.48537398562,15,0,0,0,1,-72.3202551867729,-30.1687886905937,-3.28346181628558,2,0,6,0,0,5,0,0,2,1,10,67,0,0,63,14
